                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1405,                 2.4024,                 1.0707,                 1.2394,                0.35629,                 0.3547,                0.30533,                 0.1457,                0.35235,                0.34976,                0.27637,                0.11098,                 1.6534,                 3.1405,                 1.6861,                 1.7031,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.1516,                 2.3401,                 1.0806,                 1.2391,                0.34944,                0.42639,                0.31229,                0.15844,                0.32777,                0.37443,                0.27542,                0.11646,                 1.6793,                 3.0873,                  1.708,                 1.7047,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.1621,                 2.3414,                 1.1015,                 1.2378,                0.34972,                0.40264,                0.30444,                0.14853,                0.32073,                0.34819,                0.25955,                0.11163,                 1.6773,                 3.1818,                 1.6386,                 1.7177,               0.000208,               0.000208,               0.000208
                     83,                 1.1244,                 2.3391,                 1.0578,                  1.225,                0.38468,                0.36104,                0.33924,                0.15578,                0.38243,                0.33579,                0.30706,                0.11988,                 1.7127,                 3.1534,                 1.6708,                 1.7427,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.1591,                 2.4175,                 1.0814,                 1.2403,                0.39215,                0.38407,                 0.3178,                0.14354,                0.36052,                 0.3501,                0.28298,                0.11245,                  1.702,                 3.0686,                 1.6659,                  1.731,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.1352,                  2.358,                 1.0536,                 1.2199,                 0.4534,                  0.366,                0.35654,                0.15822,                0.41162,                0.34002,                0.30408,                0.12729,                 1.7082,                 3.0496,                 1.6287,                 1.7158,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1125,                 2.3394,                 1.0698,                 1.2378,                0.39234,                0.36975,                0.33618,                0.15751,                 0.3961,                 0.3311,                0.29673,                0.12591,                 1.7392,                  3.124,                 1.6244,                 1.7417,              0.0001684,              0.0001684,              0.0001684
                     87,                   1.14,                 2.3226,                 1.0506,                 1.2375,                0.41174,                0.35403,                0.33285,                0.15473,                0.36181,                0.37764,                0.29309,                0.11737,                 1.7601,                 3.1251,                  1.694,                 1.7519,              0.0001585,              0.0001585,              0.0001585
                     88,                  1.135,                 2.3084,                 1.0388,                 1.2232,                0.37162,                0.45092,                0.34991,                0.16191,                 0.3304,                0.40298,                0.30992,                 0.1212,                 1.6803,                 3.1362,                 1.6616,                 1.6984,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.1029,                 2.3106,                 1.0325,                 1.2231,                0.36328,                0.42322,                0.32737,                0.15318,                0.34084,                0.38864,                0.29548,                0.11555,                  1.693,                  3.135,                 1.6636,                 1.7133,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.1037,                 2.3757,                 1.0232,                 1.2124,                0.34514,                0.43345,                0.33792,                0.15248,                0.35294,                0.37112,                0.29939,                0.11766,                 1.7029,                 3.1185,                 1.5882,                 1.7232,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.1031,                 2.0742,                0.97028,                 1.2438,                0.43534,                0.36555,                0.33273,                0.15823,                 0.4103,                0.34068,                0.30607,                0.12195,                 1.7422,                 3.2083,                 1.7338,                 1.7742,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.0773,                  1.973,                0.91176,                 1.2313,                0.37189,                0.40017,                0.32327,                0.15625,                0.35596,                0.38656,                0.30948,                0.12588,                 1.7159,                 3.1111,                 1.6491,                  1.753,               0.000109,               0.000109,               0.000109
                     93,                 1.0417,                  1.983,                0.88404,                  1.202,                0.37551,                0.40084,                0.33615,                0.15271,                0.33912,                0.35968,                 0.2878,                0.11554,                 1.6874,                 3.1583,                 1.6538,                 1.7373,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.0615,                 1.9649,                0.87434,                 1.2163,                 0.4046,                0.39625,                0.34277,                  0.155,                0.36826,                0.36305,                0.28879,                0.11842,                 1.7127,                 3.1368,                 1.6592,                 1.7524,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.0449,                 1.9405,                 0.8834,                 1.2264,                0.41794,                0.39336,                0.34319,                0.16356,                0.38465,                 0.3668,                0.30227,                0.12622,                 1.6961,                 3.1021,                 1.6584,                 1.7417,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.0244,                 1.9117,                0.84912,                 1.1954,                0.43329,                0.40128,                0.35062,                0.16678,                0.40326,                0.37463,                0.30769,                0.13144,                 1.6628,                 3.1295,                 1.6592,                 1.7116,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                  0.995,                 1.8824,                0.82058,                 1.1788,                0.44247,                0.41052,                0.36025,                0.17235,                0.40899,                0.38499,                 0.3202,                0.13016,                 1.6675,                 3.1755,                 1.6163,                 1.7229,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.0363,                 1.9657,                0.86615,                 1.2097,                0.42981,                0.42368,                 0.3649,                0.16795,                0.40486,                0.40682,                0.31984,                0.12509,                 1.7001,                  3.179,                 1.6353,                 1.7518,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.0075,                 1.9197,                0.82665,                 1.1904,                0.41673,                0.39686,                0.34032,                0.15808,                0.37039,                0.36861,                0.29554,                0.11832,                 1.7036,                 3.1831,                 1.6359,                   1.76,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.0098,                 1.8906,                0.79217,                 1.1859,                0.39916,                 0.4215,                0.35174,                 0.1661,                0.36335,                0.38661,                0.31282,                0.12589,                 1.6989,                  3.178,                 1.6299,                  1.758,               2.98e-05,               2.98e-05,               2.98e-05
